id,name,meal_type,total_time_minutes,estimated_cost
42,Instant Set Dosa Meal,breakfast,15,
43,Neer Dosa Meal,breakfast,20,
44,Andhra Special Pesarattu Meal,dinner,30,
45,Onion Uttapam Meal,dinner,25,
46,Uttapam - Mixed Veg Meal,dinner,30,
47,Eggless Banana Muffins Meal,dinner,30,
48,Veggie Egg Muffins Meal,dinner,30,
49,Breakfast Burrito - Veg Meal,dinner,20,
50,Simple Breakfast Burrito - Egg and Sausage Meal,dinner,15,
51,Amazing Creamy Avocado Toast Meal,dinner,10,
52,Tomato Cheese Toast Meal,dinner,10,
53,Crispy Fried Chicken Sandwich With Honey-Sriracha Sauce on a Brioche Bun Meal,dinner,55,
54,Creamy Egg Salad Sandwich Meal,dinner,20,
55,Homemade Granola Meal,dinner,55,
56,Paneer Bhurji Meal,dinner,20,
57,Stuffed Capsicum Omelette Meal,dinner,20,
58,Masala Maggi Breakfast Meal,dinner,15,
59,Thalipeeth Meal,dinner,25,
60,Travel Friendly Methi Thepla Meal,dinner,35,
61,Masala Cornflakes Mix Meal,dinner,10,
62,Vegetable Sevai Upma Meal,breakfast,25,
63,Idiyappam with Hotel Style Vegetable Kurma Meal,dinner,50,
64,Appam with Vegetable Stew Meal,dinner,60,
65,Instant Ragi Dosa Meal,breakfast,20,
66,Ragi Idli Meal,breakfast,30,
67,Millet Upma Meal,breakfast,45,
68,Korra Pongal Meal,dinner,50,
69,Ven Pongal Meal,dinner,65,
70,Sweet Pongal Meal,dinner,40,
71,Dal Khichdi Meal,dinner,30,
72,Masala Sabudana Vada Meal,dinner,75,
73,Egg Cheese Toast Meal,dinner,7,
74,Cheesy Scrambled Eggs Meal,dinner,7,
75,Aloo Gobi Recipe Meal,dinner,50,
76,Baingan Bharta Recipe (Eggplant Bharta) Meal,dinner,50,
77,Bhindi Fry Recipe | Okra Stir Fry Meal,dinner,50,
78,Stuffed Capsicum | Stuffed Bell Peppers Recipe Meal,dinner,50,
79,Veg Burger Recipe (Veggie Burger) Meal,dinner,50,
80,Navratan Korma Recipe (Navratan Curry) Meal,dinner,50,
81,Veg Biryani Meal,lunch,60,
82,Chicken Biryani Meal,lunch,90,
83,Chana Masala Recipe (Chickpea Masala) Meal,dinner,50,
84,Paneer Butter Masala Meal,dinner,40,
85,Dal Tadka Meal,dinner,40,
86,Rajma Chawal Meal,dinner,60,
87,Chole Bhature Meal,dinner,105,
88,Jeera Rice with Dal Fry Meal,lunch,45,
89,Lemon Rice Meal,lunch,25,
90,Thecha Curd Rice Meal,lunch,30,
91,Veg Pulao Meal,lunch,30,
92,Mushroom Masala Meal,dinner,40,
93,Kadai Paneer Meal,dinner,40,
94,Palak Paneer Meal,dinner,40,
95,Aloo Gobi Meal,dinner,40,
96,Restaurant Style Mix Veg Curry Meal,dinner,40,
97,Butter Chicken Meal,dinner,60,
98,Rohu Fish Curry Meal,dinner,45,
99,Egg Curry (Dhaba Style) Meal,dinner,45,
100,Chicken Maharani Curry Meal,dinner,60,
101,Malai Kofta Meal,dinner,60,
102,Bhindi Masala Meal,dinner,40,
103,Baingan Bharta Meal,dinner,30,
104,Matar Paneer Meal,dinner,40,
105,Chicken Korma Meal,dinner,60,
106,Veg Fried Rice Meal,lunch,30,
107,Easy & Healthy Chicken Fried Rice Meal,lunch,25,
108,Better Than Takeout Egg Fried Rice Meal,lunch,15,
109,Veg Hakka Noodles Meal,dinner,25,
110,Rajma Recipe | Rajma Masala | Rajma Chawal Meal,dinner,50,
111,Sambar Rice Meal,lunch,40,
112,One Pot Rasam Rice Meal,lunch,30,
113,Tomato Rice Meal,lunch,30,
114,Authentic Coconut Rice Meal,lunch,25,
115,Veg Thali Meal,dinner,60,
116,Dal Makhani Recipe (Restaurant Style) Meal,dinner,50,
117,South Indian Lunch Thali Meal,dinner,60,
118,North Indian Thali Meal,dinner,60,
119,Paneer Pulao Meal,lunch,35,
120,Matar Pulao Meal,lunch,40,
121,Dal Tadka Recipe Meal,dinner,50,
122,Hyderabadi Veg Dum Biryani Meal,lunch,75,
123,Hyderabadi Chicken Biryani Meal,lunch,90,
124,Perfect Mutton Curry Meal,dinner,45,
125,One Pot Dal Curry with Steamed Rice Meal,lunch,35,
126,Vegetable Masala Khichdi Meal,dinner,35,
127,Masala Khichdi Meal,dinner,45,
128,Veg Kurma with Chapati Meal,dinner,35,
129,Paneer Bhurji Recipe Meal,dinner,50,
130,Bottle Gourd Kofta Curry Meal,dinner,45,
131,Paneer Bhurji with Roti Meal,dinner,25,
132,Chicken 65 with Rice Meal,lunch,45,
133,Veg Manchurian with Fried Rice Meal,lunch,60,
134,Gobi Manchurian Meal,dinner,35,
135,Paneer Manchurian Meal,dinner,35,
136,Veg Schezwan Fried Rice Meal,lunch,10,
137,Paneer Pasanda with Butter Naan Meal,dinner,60,
138,Chicken Chettinad Meal,dinner,70,
139,Kasuri Methi Malai Chicken Meal,dinner,45,
140,Navratan Korma Meal,dinner,45,
141,Kashmiri Dum Aloo Meal,dinner,45,
142,Achari Paneer Masala Meal,dinner,40,
143,Pepper Chicken Dry Meal,dinner,40,
144,Kottayam Style Fish Curry Meal,dinner,30,
145,Goan Prawn Curry Meal,dinner,45,
146,Matar Paneer Recipe (Mutter Paneer) Meal,dinner,50,
147,Awadhi Chicken Korma Meal,dinner,80,
148,Dal Palak Meal,dinner,30,
149,Tandoori Paneer Tikka Meal,dinner,30,
150,Malabar Chicken Curry Meal,dinner,45,
151,Chicken Do Pyaza Meal,dinner,60,
152,Egg Masala with Chapati Meal,dinner,40,
153,Veg Jaipuri Meal,dinner,45,
154,Masala Bhindi Fry Meal,dinner,25,
155,Dhabha Style Paneer Do Pyaza Meal,dinner,55,
156,Palak Corn (Spinach Corn Curry) Meal,dinner,50,
157,Stuffed Baingan Curry Meal,dinner,60,
158,Veg Kolhapuri Meal,dinner,45,
159,Handi Chicken Meal,dinner,60,
160,Paneer Lababdar Meal,dinner,55,
161,Ragda Pattice Meal,dinner,120,
162,Chicken Kali Mirch Meal,dinner,70,
163,Mushroom Pepper Fry Meal,dinner,25,
164,Punjabi Style Rajma Masala Meal,dinner,75,
165,Chole with Lachha Paratha Meal,dinner,75,
166,Malai Kofta Recipe (Paneer Kofta) Meal,dinner,50,
167,Veg Makhanwala Meal,dinner,45,
168,Paneer Angara Meal,dinner,45,
169,Chicken Angara Meal,dinner,130,
170,Butter Chicken Recipe (Indian Chicken Makhani) Meal,dinner,50,
171,Corn Palak Sabzi Meal,dinner,35,
172,Egg Bhurji with Phulka Meal,dinner,25,
173,Veg Hyderabadi Curry Meal,dinner,60,
174,Paneer Mughlai Meal,dinner,45,
175,Chicken Mughlai Meal,dinner,60,
176,Dal Makhani Dinner Special Meal,dinner,140,
177,Veg Achari Meal,dinner,35,
178,Tawa Paneer Meal,dinner,35,
179,Chicken Rezala Meal,dinner,60,
180,Matar Mushroom Masala Meal,dinner,45,
181,Corn Palak Meal,dinner,25,
182,Paneer Shahi Korma Meal,dinner,50,
183,Shahi Chicken Korma Meal,dinner,110,
184,Deewani Handi Meal,dinner,45,
185,Egg Butter Masala Meal,dinner,45,
186,Paneer Butter Pepper Fry Meal,dinner,40,
187,Chicken Butter Pepper Fry Meal,dinner,35,
188,Vegetable Dum Biryani Meal,lunch,60,
189,Veg Frankie Roll Meal,dinner,20,
190,Chicken Dum Biryani Meal,lunch,90,
191,Bihari Chicken Bhuna Masala Meal,dinner,55,
192,Veg Gassi with Rice Meal,lunch,45,
193,Kori Gassi Meal,dinner,60,
194,Masala Samosa Meal,dinner,50,
195,Ruhi Style Soft Paneer Pakora Meal,dinner,30,
196,Onion Pakoda Meal,dinner,25,
197,Aloo Bonda Meal,dinner,35,
198,Bread Pakora Stuffed Meal,dinner,20,
199,Vegetable Cutlet Meal,dinner,30,
200,Hara Bhara Kebab Meal,dinner,35,
201,Cheese Corn Balls Meal,dinner,25,
202,Veg Spring Rolls Meal,dinner,35,
203,Paneer Tikka Skewers Meal,dinner,30,
204,Tandoori Aloo Meal,dinner,35,
205,Dahi Puri Meal,dinner,25,
206,Sev Puri Dip Meal,dinner,15,
207,Bhel Puri Meal,dinner,10,
208,Pav Bhaji Snack Platter Meal,dinner,45,
209,Vada Pav Meal,dinner,35,
210,Misal Pav Snack Bowl Meal,dinner,45,
211,Masala French Fries Meal,dinner,25,
212,Peri Peri Fries Meal,dinner,25,
213,Cheesy Garlic Bread Meal,dinner,25,
214,Chilli Cheese Toast Meal,dinner,20,
215,Veg Cheese Sandwich Grill Meal,dinner,20,
216,Paneer Biryani Recipe (Easy Dum Method) Meal,lunch,40,
217,Paneer Sandwich Toasted Meal,dinner,20,
218,Bombay Masala Toast Sandwich Meal,dinner,35,
219,Potato Smiley Snack Meal,dinner,25,
220,Aloo Tikki Chaat Meal,dinner,30,
221,Dahi Aloo Tikki Meal,dinner,35,
222,Soya Chaap Tikka Meal,dinner,35,
223,Crispy Corn Pepper Fry Meal,dinner,25,
224,Cheesy Vegetable Nachos Meal,dinner,30,
225,Masala Peanuts Meal,dinner,25,
226,Roasted Chana Snack Mix Meal,dinner,25,
227,Instant Poha Chivda Meal,breakfast,15,
228,Crispy Murukku Meal,dinner,35,
229,Thattai Crisps Meal,dinner,40,
230,Masala Boiled Egg Chaat Meal,dinner,20,
231,Ribbon Pakoda Meal,dinner,35,
232,Medu Vada Snack Meal,dinner,140,
233,Leftover Fried Idli Snack Meal,breakfast,15,
234,Schezwan Idli Fry Meal,breakfast,20,
235,Mini Rava Uttapam Bites Meal,dinner,25,
236,Instant Rava Dhokla Meal,dinner,35,
237,Khaman Dhokla Meal,dinner,30,
238,Handvo Slices Meal,dinner,280,
239,Kothimbir Vadi Meal,dinner,50,
240,Sabudana Vada Meal,dinner,140,
241,Sabudana Tikki Meal,dinner,140,
242,Moong Dal Chilla Roll Meal,dinner,25,
243,Besan Chilla Stuffed Roll Meal,dinner,20,
244,Paneer Puff Meal,dinner,45,
245,Veg Puff Meal,dinner,50,
246,Bakery Style Egg Puff Meal,dinner,70,
247,Cheesy Chicken Puffs Meal,dinner,45,
248,Chicken Popcorn Bites Meal,dinner,20,
249,Zero Oil Fish Finger Snack Meal,dinner,30,
250,Andaa Bhurji Pav Meal,dinner,25,
251,Cucumber Curd Sandwich Meal,dinner,10,
252,Veg Mayo Sandwich Meal,dinner,10,
253,Paneer Corn Sandwich Meal,dinner,20,
254,Simple Stuffed Paratha Roll Snack Meal,dinner,25,
255,Paneer Kathi Roll Snack Meal,dinner,25,
256,Chicken Tikka Masala Recipe Meal,dinner,50,
257,Ring Samosa Chaat Meal,dinner,30,
258,Papdi Chaat Meal,dinner,25,
259,Masala Sweet Corn Cup Meal,dinner,20,
260,Sprouts Chaat Bowl Meal,dinner,10,
261,Fruit Chaat Snack Meal,dinner,10,
262,Chicken Korma Recipe Meal,dinner,50,
263,Chicken 65 Recipe Meal,dinner,50,
264,Chicken Fry Recipe (Andhra Kodi Vepudu) Meal,dinner,50,
265,Chicken Curry Recipe Meal,dinner,50,
266,Pepper Chicken Recipe Meal,dinner,50,
267,Masala Chai Recipe (Authentic Indian Spiced Milk Tea) Meal,dinner,10,
268,Irani Chai Recipe (Cafe Style Irani Tea) Meal,dinner,15,
269,Turmeric Milk | Golden Milk (Haldi Doodh) Meal,dinner,15,
270,Lemon Cake Recipe (With Lemon Drizzle) Meal,dinner,15,
271,Iced Tea Recipe | Lemon Iced Tea Meal,dinner,10,
272,Watermelon Juice Recipe + How to Cut Watermelon Meal,dinner,10,
273,Orange Juice Recipe (Easy and Homemade) Meal,dinner,10,
274,Pineapple Juice Recipe (Using Blender) Meal,dinner,10,
275,Wood Apple Juice | Wood Apple Recipe Meal,dinner,10,
276,Fresh Pomegranate Juice (Anar Juice) Meal,dinner,10,
277,Mango Lassi Recipe Meal,dinner,10,
278,Diwali Sweets | Traditional & Modern Recipes 2025 Meal,dinner,15,
279,Paneer Butter Masala Recipe Meal,dinner,15,
280,Rose Milkshake | Rose Milk Meal,dinner,10,
281,Thandai Recipe (Traditional Holi Drink) Meal,dinner,15,
282,Aam Panna Recipe – With Boiled and Roasted Mangoes Meal,dinner,10,
283,Jaljeera Recipe | Jaljeera Benefits Meal,dinner,10,
284,Nimbu Pani | Shikanji (Indian Lemonade) Meal,dinner,10,
285,Green Tea Recipe Meal,dinner,15,
286,Coffee Milkshake (With Ice Cream) Meal,dinner,10,
287,Strawberry Milkshake Recipe: Classic & Plant Based Meal,dinner,10,
288,Chocolate Milkshake Recipe | Chocolate Shake Meal,dinner,10,
289,Banana Milkshake Recipe | Wholesome Banana Shake Meal,dinner,10,
290,Kulfi Falooda Meal,dinner,10,
291,Aloo Kofta Recipe (Potato Kofta Curry) Meal,dinner,40,
292,Potato Curry Recipe (Indian Aloo Curry) Meal,dinner,40,
293,Egg Curry Recipe Meal,dinner,50,
294,Paneer Lababdar (Restaurant Style Recipe) Meal,dinner,40,
295,Baby Corn Jalfrezi Meal,dinner,40,
296,Paneer Do Pyaza Recipe (Restaurant Style) Meal,dinner,40,
297,Bharli Bhendi Meal,dinner,40,
298,Jeera Rice Recipe (Jeera Pulao) Meal,lunch,40,
299,Kadhi Recipe | Punjabi Kadhi Pakora Meal,dinner,40,
300,Kerala Sambar Meal,dinner,40,
301,Tomato Pappu (Classic Andhra Dal With Tomatoes) Meal,dinner,40,
302,Lauki Chana Dal Meal,dinner,40,
303,Egg Masala Gravy Recipe Meal,dinner,50,
304,Drumstick Sambar (Murungakkai Sambar) Meal,dinner,40,
305,Kootu Curry | Koottukari Recipe Meal,dinner,40,
306,Beetroot Poriyal Meal,dinner,40,
307,Cabbage Poriyal Meal,dinner,40,
308,Beans Thoran Recipe Meal,dinner,40,
309,Mor Kulambu Recipe | Easy Mor Kuzhambu Meal,dinner,40,
310,Vatha Kulambu | Vatha Kuzhambu | Manathakkali Vathal Kulambu Meal,dinner,40,
311,Meal Maker Curry Recipe | Soya Chunks Curry Meal,dinner,40,
312,Karela Fry | Bitter Gourd Fry | Kakarakaya Fry Meal,dinner,40,
313,Dum Aloo Recipe (Mughlai Style) Meal,dinner,40,
314,Aloo Bhindi Recipe (Punjabi Style) Meal,dinner,40,
315,Methi Matar Malai Recipe Meal,dinner,40,
316,Kofta Recipe | Veg Kofta Curry Meal,dinner,40,
317,Sabji Masala – How to Make And Use Meal,dinner,40,
318,Navratri Recipes | 84 Navratri Fast Recipes Meal,dinner,40,
319,Bhindi Do Pyaza Recipe (Punjabi Style) Meal,dinner,40,
320,Egg Bhurji Recipe (Indian Anda Bhurji) Meal,dinner,50,
321,Ladies Finger Fry (Vegan) Meal,dinner,40,
322,Veg Puff Recipe | Indian Curry Puff Meal,dinner,40,
323,Gucchi Mushroom (Morel Mushroom) – About & Pulao Recipe Meal,lunch,40,
324,Fish Curry Recipe (Fish Masala) Meal,dinner,50,
325,Pudina Rice Recipe | Spicy Pudina Pulao (Mint Rice) Meal,lunch,40,
326,Bagara Baingan (Eggplant Curry For Biryani) Meal,lunch,40,
327,Bisi Bele Bath Recipe (Karnataka Style) Meal,dinner,40,
328,Tamarind Rice | Puliyodharai Recipe Meal,lunch,40,
329,Tomato Rice Recipe (South Indian Thakkali Sadam) Meal,lunch,40,
330,Capsicum Rice Recipe (Indian Bell Pepper Rice) Meal,lunch,40,
331,25 Delicious Millet Recipes to Try Today Meal,dinner,40,
332,Dalia Recipe | Daliya Khichdi Meal,dinner,40,
333,Maharashtrian Batata Poha (Aloo Poha) Meal,breakfast,40,
334,Oats Upma Recipe (Indian Savory Oats) Meal,breakfast,40,
335,Palak Rice Recipe (Indian Spinach Rice) Meal,lunch,40,
336,Carrot Rice Recipe (Easy & Healthy) Meal,lunch,40,
337,Tomato Bath (Karnataka Style) Meal,dinner,40,
338,Shavige Uppittu Recipe (Rice Vermicelli Upma) Meal,breakfast,40,
339,Idiyappam Recipe | Nool Puttu (String Hoppers) Meal,dinner,40,
340,Sprouts Curry | How To Make Mixed Sprouts Curry Meal,dinner,40,
341,Masala Puri Recipe (Bangalore Style Chaat) Meal,dinner,40,
342,Kadala Curry Recipe (Kerala Style) Meal,dinner,40,
343,Lobia Recipe | Lobia Masala (Curried Black Eyed Beans) Meal,dinner,40,
344,Veg Handi Meal,dinner,40,
345,Mushroom Do Pyaza (Mushrooms with Onions) Meal,dinner,40,
346,Amritsari Fish Recipe (Tawa Fish Fry) Meal,dinner,50,
347,Soya Keema Recipe (With Soya Granules) Meal,dinner,40,
348,Prawn Curry (Prawn Masala) Meal,dinner,50,
349,Diwali Snacks Recipes | Diwali Food Ideas 2025 Meal,dinner,40,
350,Chole Bhature | Chana Bhatura Meal,dinner,40,
351,Chana Masala Recipe (Easy North Indian Style) Meal,dinner,40,
352,Masala Uttapam | Sandwich Uttapam (Street Style) Meal,dinner,40,
353,Cauliflower Kurma Recipe (South Indian Style) Meal,dinner,40,
354,12 Bottle gourd recipes | lauki recipes | dudhi recipes | sorakaya recipes Meal,dinner,40,
355,Palak Saag | Spinach Saag Meal,dinner,40,
356,Parwal ki Sabji | Easy Aloo Parwal Recipe Meal,dinner,40,
357,Paneer Butter Masala | How to make Paneer Butter Masala Recipe Meal,dinner,50,
358,Kadai Paneer Recipe | Shahi Paneer Recipe | How to make Kadai Paneer Gravy Recipe | Homemade Kadai Paneer Recipe Meal,dinner,50,
359,Palak paneer | How to Make Palak Paneer | Punjabi Style Palak Paneer | Restaurant Style Palak Paneer Meal,dinner,50,
360,Chicken Malai Kofta | Shahi Chicken Kofta recipe | How to make Malai Chicken Kofta Curry Meal,dinner,50,
361,Tea Shop Style Onion Bonda | Onion Bonda Recipe Meal,dinner,50,
362,Prawn biryani | Shrimp biryani Meal,lunch,50,
363,Kaju Mushroom Masala | Mushroom Masala | How to make Kaju Mushroom Masala Recipe Meal,dinner,50,
364,Mutton Curry | Mutton Masala Gravy Meal,dinner,50,
365,Mutton Korma (Goat Korma) Meal,dinner,50,
366,Mutton Kabab Recipe | Mutton Keema Kabab Recipe Meal,dinner,50,
367,Aloo Gobi Parota | Gobi Paratha | Punjabi Gobi ka Paratha | Potato Cauliflower Stuffed Paratha Meal,dinner,50,
368,Bhindi do Pyaza | Okra Onion Curry | Easy Bhindi do Pyaza Recipe with Video | How to Make Bhindi do Pyaz Meal,dinner,50,
369,Mutton Fry | Mutton Sukka | Mutton Roast Meal,dinner,50,
370,Rogan Josh Recipe (Lamb Rogan Josh) Meal,dinner,50,
371,Tandoori Chicken Recipe (Smoky Restaurant Style) Meal,dinner,50,
372,South Indian Wedding-Style Chole Masala | Chole Masala Recipe Meal,dinner,50,
373,Chicken kebab recipe | Chicken kabab recipe Meal,dinner,50,
374,Pudina Dal Tadka | Mint Dal How to Make Pudina Dal with tips Meal,dinner,50,
375,Punjabi Dabha Style Paneer Bhurji | How to Make Paneer Bhurji Meal,dinner,50,
376,Chicken Seekh Kabab Meal,dinner,50,
377,Tangdi kabab recipe (Restaurant style tangri kabab) Meal,dinner,50,
378,Butter Chicken Recipe | Murgh Makhani | How to make Chicken Makhani Meal,dinner,50,
379,"Paneer Tikka Recipe in Oven, Air Fryer, Stovetop Meal",dinner,50,
380,Tandoori Mushroom Tikka Meal,dinner,50,
381,Restaurant Style Shahi Chicken Korma Recipe | Shahi Chicken Korma Recipe Meal,dinner,50,
382,Schzewan Fried Chicken | How to make Schzewan Fried Chicken Recipe | Szechuan Chicken Meal,dinner,50,
383,Pepper Chicken Fry | Dry Pepper Chicken Fry | How to make Chicken Fry Meal,dinner,50,
384,Tomato Chicken | Thick Gravy Chicken Curry | How to make Spicy Tomato Chicken Curry with Thick gravy Meal,dinner,50,
385,Tandoori Fish Tikka Meal,dinner,50,
386,Telangana Style Masala Egg Curry | Egg Gravy Recipe | Thick Masala Egg Gravy Recipe Meal,dinner,50,
387,Ridged Gourd Scrambled Eggs | Turai Egg Bhurji Masala | Beerakaya Egg Burji | Peerkangai Muttai Poriyal Recipe Meal,dinner,50,
388,Chettinad Fish Stew | South Indian Chettinad Fish Gravy | How to make Chettinad Fish Curry Meal,dinner,50,
389,Boneless Fish Fry | Amritsari Fish Fry | Ajwain Fish Fry recipe | How to Make Boneless Fish Fry Meal,dinner,50,
390,Spicy Tomato Prawns Curry Recipe | Prawns Tomato Curry Recipe Meal,dinner,50,
391,Veg Fried Rice Recipe (Vegetable Fried Rice) Meal,lunch,50,
392,Spicy Mutton Fry | Andhra Style Spicy Mutton Fry | Rayalaseema Style Mutton Fry | How to make Spicy Mutton Fry Meal,dinner,50,
393,Egg fried rice Meal,lunch,50,
394,Rava Idli (Easy and No Fermentation) Meal,breakfast,30,
395,Chicken Fried Rice Recipe Meal,lunch,50,
396,Veg Noodles Recipe (Vegetable Noodles) Meal,dinner,50,
397,Chicken Noodles Recipe Meal,dinner,50,
398,Veg Manchurian Recipe with Manchurian Sauce Meal,dinner,50,
399,Mysore Masala Dosa Recipe (With Red Chutney) Meal,breakfast,30,
400,Idli Sambar Recipe | How to make Tiffin Sambar Meal,breakfast,30,
401,Paneer Dosa Recipe (Street Style) Meal,breakfast,30,
402,Set Dosa | Soft Sponge Dosa Recipe Meal,breakfast,30,
403,Rava Dosa Recipe Meal,breakfast,30,
404,Kanchipuram Idli | Kovil Idli Meal,breakfast,30,
405,Chicken manchurian recipe Meal,dinner,50,
406,Gobi Manchurian Recipe | Cauliflower Manchurian Meal,dinner,50,
407,Medu Vada Recipe Meal,dinner,30,
408,Ven Pongal Recipe | Khara Pongal | Ghee Pongal Meal,dinner,30,
409,Kothu Parotta | Kothu Roti Meal,dinner,50,
410,Fried Idli | Idli Fry (Mumbai Style) Meal,breakfast,30,
411,Onion Uttapam (With Homemade Batter) Meal,dinner,30,
412,Uttapam Recipe | How To Make Uthappam Meal,dinner,30,
413,Pesarattu Recipe | Andhra Style Moong Dal Dosa Meal,breakfast,30,
414,Coconut Burfi (Nariyal Barfi) Meal,dinner,50,
415,Sweet Pongal | Festive Sakkarai Pongal | Chakkara Pongal Meal,dinner,30,
416,"Sambar Recipe, How to Make Sambar Meal",dinner,50,
417,Kadala Curry Recipe Meal,dinner,50,
418,Poha Recipe (Kanda Poha) Meal,breakfast,30,
419,Indori Poha Meal,breakfast,30,
420,Tomato Upma Meal,breakfast,30,
421,Bread Upma (Quick and Easy) Meal,breakfast,30,
422,Milk Dalia (Indian Cracked Wheat Porridge) Meal,dinner,30,
423,Oats Porridge Recipe | Oatmeal Porridge Meal,dinner,30,
424,Ragi Dosa Recipe | Nachni Dosa Meal,breakfast,30,
425,Ragi Idli Recipe Meal,breakfast,30,
426,Ragi Malt | Healthy Ragi Java | Ragi Porridge Meal,dinner,30,
427,Sabudana Khichdi Recipe Meal,dinner,30,
428,Sabudana Vada Recipe (For Fasting) Meal,dinner,30,
429,Aloo Palak Paratha Meal,dinner,30,
430,Paneer Paratha Recipe (Punjabi Style) Meal,dinner,30,
431,Aloo Gobi Paratha Meal,dinner,30,
432,Methi Paratha Recipe (Punjabi Methi ke Parathe) Meal,dinner,30,
433,Onion Paratha (Stuffed Onion Flatbread) Meal,dinner,30,
434,Cheese Paratha (Cheese Stuffed Flatbread) Meal,dinner,30,
435,Baingan Bharta Recipe (Smoky Indian Mashed Eggplant) Meal,dinner,30,
436,Paneer Bhurji Recipe (Spiced Scrambled Cottage Cheese) Meal,dinner,30,
437,Tomato Omelette Recipe Meal,dinner,30,
438,27 Sandwich Recipes (Vegetarian) Meal,dinner,30,
439,Pinwheel Sandwich Recipe Meal,dinner,30,
440,Paneer Sandwich Recipe (2 Versions) Meal,dinner,30,
441,Avocado Shake Recipe Meal,dinner,30,
442,Bread Pakora Recipe (Stuffed Bread Pakoda) Meal,dinner,30,
443,Batata Vada Recipe | Maharashtrian Style Aloo Vada Meal,dinner,30,
444,Misal Pav (Misal Recipe) Meal,dinner,30,
445,Puri Bhaji | Batata Bhaji Meal,dinner,30,
446,Khaman Dhokla Recipe (Instant Gujarati Khaman) Meal,dinner,30,
447,Poha Cutlet Recipe Meal,breakfast,30,
448,Thalipeeth Recipe Meal,dinner,30,
449,Thepla Recipe (Multigrain Methi Thepla) Meal,dinner,30,
450,Chia Pudding Recipe (Easy & Healthy) Meal,dinner,30,
451,Lassi Recipe (Indian Yogurt Drink) Meal,dinner,30,
452,Mango Smoothie Recipe (5 Healthy Variations) Meal,dinner,30,
453,Blueberry Smoothie Recipe (Easy & Healthy) Meal,dinner,30,
454,Dal Vada | Masala Vada | Parippu Vada Meal,dinner,40,
455,Onion Samosa (Patti Samosa) Meal,dinner,40,
456,Samosa Recipe (Better Than Takeout) Meal,dinner,40,
457,Vada Pav Recipe | How to make Mumbai Vada Pav Meal,dinner,40,
458,Paneer Pakora Recipe Meal,dinner,40,
459,Mirchi Bajji Recipe | Chilli Bajji | Mirapakaya Bajji Meal,dinner,40,
460,Aloo Bonda Recipe (Potato Bonda) Meal,dinner,40,
461,Gobi 65 Recipe | Fried Cauliflower Snack Meal,dinner,40,
462,Paneer 65 Recipe Meal,dinner,40,
463,Veg Cutlet Recipe | Mix Vegetable Cutlet Meal,dinner,40,
464,Hara Bhara Kabab Recipe (Pan-fried & Baked) Meal,dinner,40,
465,Cheese Pakora Meal,dinner,40,
466,Methi Pakoda | Methi Bhajiya | Methi Pakora Meal,dinner,40,
467,Moong Dal Pakoda | Moong Dal Vada | Moong Dal Bhajiya Meal,dinner,40,
468,Puri For Pani Puri | Suji Ke Golgappe Meal,dinner,40,
469,Dahi Puri Recipe (Street Style) Meal,dinner,40,
470,Sev Puri (Indian Chaat Snack) Meal,dinner,40,
471,Bhel Puri Recipe (Mumbai Style Bhel) Meal,dinner,40,
